id,category,source,hyp,kalimat_koreksi,gec_score
0,ALG,wanita ini menangis histeris sa't sadar dr mabux celana dlm ny hilang,wanita ini menangis histeris sa't sadar dari mabux celana dlm ny hilang.,Wanita ini menangis histeris saat sadar dari mabuk calana dalamnya hilang,-0.23171617090702057
1,ALG,"Sadar dari Mabuk,Wanita Ini Nangis Histeris Saat Menyadari CD-nya Sudah Tak Ada","sadar dari mabuk, wanita ini nangis histeris saat menyadari cd-nya sudah tak ada.","Sadar dari mabuk, wanita ini menangis histeris saat menyadari celana dalamnya sudah tidak ada",-0.200483500957489
2,ALG,"Video Pesta asusila Viral, Dua Terduga Pelaku lgbt Diamankan","video pesta asusila viral, dua terduga pelaku lgbt diamankan.","Video pesta asusila vira, dua terduga pelaku LGBT diamankan",-0.38100624084472656
3,ALG,POnsel pembunuh ditemukan di dalam kOper,ponsel pembunuh ditemukan di dalam koper.,Ponsel pembunuh ditemukan di dalam koper,-0.29750391840934753
4,ALG,MintaDinikahi karena Hamil. Janda Asal Grobogan Diduga Dianiaya Kekasih hingga tewas di Sragen,mintadinikahi karena sragen janda asal grobogan diduga dianiaya kekasih hingga tewas di hamil.,"Meminta Dinikahi karena Hamil, Janda Asal Grobogan Diduga Dianiaya Kekasih hingga Tewas di Sragen",-0.21053893864154816
5,ALG,PERIVATE BAHASA INGGRIS Saty Bulan Bisa Berkomunikasi,perbankan bahasa inggris satu bulan bisa berkomunikasi.,PRIVATE BAHASA INGGRIS Satu Bulan bisa berkomunikasi Hub: 08777,-0.3276667594909668
6,ALG,Selamatjalanabang kusayang,selamatjalanabang kusayang.,"Selamat jalan, abangku sayang",-0.22374017536640167
7,ALG,Sampaikanpada Yg MAHA KUASA Agarsmwpelaku dihukumMoti Juga,sampaikanpada yang maha kuasa agarsmawpelaku dihukumoti juga.,Sampaikan pada Yang Maha Kuasa agar semua pelaku dihukum mati juga,-0.21242527663707733
8,ALG,WAJIBD4CONGIJEMPOLC,wajibd4congijempolc.,Wajib diacungi jempol,-0.1613740473985672
9,ALG,Berani Lepas Jabatan & Seragam Demi Kejujuran,berani lepas jabatan-seragam dari kejujuran.,Jenderal Hoegeng dan Aipda Vicky: Berani melepas jabatan dan seragam demi kejujuran,-0.263141393661499
