crop,category,teks_ocr,kalimat_koreksi,paddleocr_out
crops/ITIEC_ALG_QQQ_20260512_0372_1.jpg,ALG,wanita ini menangis histeris sa't sad4r dr mabux cel4na dlm ny hil4ng,Wanita ini menangis histeris saat sadar dari mabuk calana dalamnya hilang,wanita ini menangis histeris sa't sad4r dr mabux cel4na dlm ny hil4ng
crops/ITIEC_ALG_QQQ_20260512_0372_2.jpg,ALG,"Sadar dari Mabuk, Wanita Ini Nangis Histeris Saat Menyadari CD-nya Sudah Tak ada","Sadar dari mabuk, wanita ini menangis histeris saat menyadari celana dalamnya sudah tidak ada","Sadar dari Mabuk,Wanita Ini Nangis Histeris Saat Menyadari CD-nya Sudah Tak Ada"
crops/ITIEC_ALG_QQQ_20260512_0080_1.jpg,ALG,"Video Pesta As*sila Viral, Dua Terduga Pelaku L*BT Diamankan","Video pesta asusila vira, dua terduga pelaku LGBT diamankan","Video Pesta As*sila Viral, Dua Terduga Pelaku L*BT Diamankan"
crops/ITIEC_ALG_QQQ_20260512_0353_1.jpg,ALG,P0nsel p3mbvnvh ditemvkan di d4lam k0per,Ponsel pembunuh ditemukan di dalam koper,POnsel p3mbvnvh ditemvkan di d4lam kOper
crops/ITIEC_ALG_QQQ_20260512_0001_1.jpg,ALG,"Minta Dinikahi karena Hamil, Janda Asal Grobogan Diduga Dianiaya Kekasih hingga T3w4s di Sragen","Meminta Dinikahi karena Hamil, Janda Asal Grobogan Diduga Dianiaya Kekasih hingga Tewas di Sragen",MintaDinikahi karena Hamil. Janda Asal Grobogan Diduga Dianiaya Kekasih hingga T3w4s di Sragen
crops/ITIEC_ALG_QQQ_20260512_0104_1.jpg,ALG,PERIVATE BAHASA INGGRIS Satu Bulan Bisa Berkomunikasi HUB : 08777,PRIVATE BAHASA INGGRIS Satu Bulan bisa berkomunikasi Hub: 08777,PERIVATE BAHASA INGGRIS Saty Bulan Bisa Berkomunikasi
crops/ITIEC_ALG_QQQ_20260512_0360_1.jpg,ALG,Selamat jalan abang ku sayang,"Selamat jalan, abangku sayang",Selamatjalanabang kusayang
crops/ITIEC_ALG_QQQ_20260512_0360_2.jpg,ALG,Sampaikan pada Yg MAHA KUASA Agar smw pelaku dihukum M0ti juga,Sampaikan pada Yang Maha Kuasa agar semua pelaku dihukum mati juga,Sampaikanpada Yg MAHA KUASA Agarsmwpelaku dihukumMoti Juga
crops/ITIEC_ALG_QQQ_20260512_0234_1.jpg,ALG,WAJIB DI 4CUNGI JEMPOL,Wajib diacungi jempol,WAJIBD4CONGIJEMPOLC
crops/ITIEC_ALG_QQQ_20260512_0234_2.jpg,ALG,Jenderal Hoegeng & Aipda Vicky: Berani Lepas Jabatan & Seragam Demi Kejujuran,Jenderal Hoegeng dan Aipda Vicky: Berani melepas jabatan dan seragam demi kejujuran,Berani Lepas Jabatan & Seragam Demi Kejujuran
crops/ITIEC_ALG_QQQ_20260512_0283_1.jpg,ALG,"Ustadz Abdul Somad: Jangan Pernah Menikah Dengan W4nita Yg Sudah Pernah Pacaran, Susah Kalian Delete Memori Dari Wanita Tersebut. Pastikan Kalianlah Suami, Pria Yang Ada di Memori Istri Kalian Selain Bapaknya.","Ustadz Abdul Somad: Jangan pernah menikah dengan wanita yang sudah pernah pacaran, kalian akan susah menghapus memori dari wanita tersebut. Pastikan kalianlah suami, pria yang ada di memori Istri kalian selain Bapaknya.","Ustadz Abdul Somad:Jangan Pernah Menikah Dengan W4nita Yg Sudah Pernah Pacaran,Susah Kalian Delete MemoriDari Wanita Tersebut.Pastikan Kalianlah Suami,Pria Yang Ada di Memori Istri Kalian Selain Bapaknya."
crops/ITIEC_ALG_QQQ_20260512_0120_1.jpg,ALG,Fauzan Boc4h yang pakainnya Dihin4 & Ditertawakan,Fauzan bocah yang pakainnya dihina dan ditertawakan,Fauzan Boc4h yang Pakaiannya Dihin4&Ditertawakansempat
crops/ITIEC_ALG_QQQ_20260512_0311_1.jpg,ALG,"Bucin Kepada Pacar, Membawa Ajeng ke Tiang G4ntvngan","Bucin kepada pacar, membaca Ajeng ke tiang gandungan","Bucin Kepada Pacar, Membawa Ajeng Ke Tiang G4ntvngan"
